src_ip,relative_time,iat_mean,iat_std,jitter,pps,byte_rate,avg_pkt_size,flow_duration,syn_count,ack_count,protocol_type,sidp_entropy,dpdi_entropy,label
10.1.1.3,0.0,0.16521360000000002,0.1881387615496605,0.21919349999999999,6.0,770.0,128.33333333333334,0.826068,2,2,1,1.2516291673878228,1.2516291673878228,0
10.1.1.4,0.10293699999999997,0.17665999999999998,0.24588952064799344,0.39055733333333326,5.0,600.0,120.0,0.70664,2,2,1,0.7219280948873623,0.7219280948873623,0
10.1.1.5,0.20202699999999998,0.04870950000000002,0.03554750000000001,0.07109500000000002,3.0,372.0,124.0,0.09741900000000003,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.6,0.302018,0.04846299999999998,0.035391000000000006,0.07078200000000001,3.0,372.0,124.0,0.09692599999999996,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.7,0.4019459999999999,0.048499000000000014,0.03533700000000001,0.07067400000000001,3.0,372.0,124.0,0.09699800000000003,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.8,0.504027,0.09730325000000001,0.056705779076629416,0.050288333333333345,5.0,712.0,142.4,0.38921300000000003,1,1,0,1.5219280948873626,1.5219280948873626,0
10.1.1.9,0.608991,0.04497650000000003,0.03387750000000006,0.06775500000000012,3.0,372.0,124.0,0.08995300000000006,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.10,0.7074309999999999,0.023056999999999994,0.0,0.0,2.0,228.0,114.0,0.023056999999999994,1,1,1,0.0,0.0,0
10.1.1.12,0.9089639999999999,0.044990000000000085,0.03185499999999997,0.06370999999999993,3.0,372.0,124.0,0.08998000000000017,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.13,1.006,0.04647199999999996,0.026328000000000018,0.052656000000000036,3.0,372.0,124.0,0.09294399999999992,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.8,1.05724,0.22539125,0.10633276414016281,0.08185500000000001,5.0,946.0,189.2,0.901565,0,4,1,0.7219280948873623,0.7219280948873623,0
10.1.1.14,1.1019459999999999,0.1143224285714286,0.0888007816227781,0.1191713333333334,8.0,1884.0,235.5,0.8002570000000002,1,4,1,1.2987949406953987,1.2987949406953987,0
10.1.1.15,1.2039819999999999,0.1118425,0.0733084200137792,0.07036620000000005,7.0,1548.0,221.14285714285714,0.671055,1,2,0,1.4488156357251847,1.4488156357251847,0
10.1.1.3,1.227291,0.4012230000000001,0.0,0.0,2.0,340.0,170.0,0.4012230000000001,0,0,0,0.0,0.0,0
10.1.1.5,1.2990490000000001,0.010192999999999897,0.0,0.0,2.0,228.0,114.0,0.010192999999999897,1,1,1,0.0,0.0,0
10.1.1.16,1.303027,0.047958500000000015,0.030842500000000106,0.06168500000000021,3.0,372.0,124.0,0.09591700000000003,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.7,1.389718,0.12555299999999997,0.06659215739860054,0.051262666666666755,5.0,970.0,194.0,0.5022119999999999,0,5,1,0.0,0.0,0
10.1.1.17,1.409027,0.0449584999999999,0.03278850000000011,0.06557700000000022,3.0,372.0,124.0,0.0899169999999998,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.18,1.504946,0.04699900000000001,0.03190099999999996,0.06380199999999991,3.0,372.0,124.0,0.09399800000000003,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.19,1.605982,0.046480999999999995,0.030391000000000057,0.060782000000000114,3.0,372.0,124.0,0.09296199999999999,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.20,1.707018,0.04708199999999996,0.030919999999999948,0.061839999999999895,3.0,372.0,124.0,0.09416399999999991,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.6,1.7990939999999997,0.045109333333333446,0.035298314051649606,0.041635499999999936,4.0,592.0,148.0,0.13532800000000034,1,2,1,0.8112781244591328,0.8112781244591328,0
10.1.1.11,1.8020079999999998,0.006520000000000081,0.0,0.0,2.0,260.0,130.0,0.006520000000000081,1,0,1,1.0,1.0,0
10.1.1.21,1.8054069999999998,0.04676850000000021,0.02755149999999995,0.0551029999999999,3.0,372.0,124.0,0.09353700000000043,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.22,1.9009459999999998,0.048999000000000015,0.032908999999999855,0.06581799999999971,3.0,372.0,124.0,0.09799800000000003,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.6,2.004958,0.22375925000000008,0.2059925875964655,0.3338993333333334,5.0,872.0,174.4,0.8950370000000003,0,2,0,1.5219280948873626,1.5219280948873626,0
10.1.1.23,2.007018,0.045962999999999976,0.02583700000000011,0.05167400000000022,3.0,372.0,124.0,0.09192599999999995,1,1,1,0.9182958340544894,0.9182958340544894,0
10.1.1.3,2.0299899999999997,0.1737740000000001,0.0728162727108442,0.09693833333333357,5.0,872.0,174.4,0.6950960000000004,0,2,0,1.5219280948873626,1.5219280948873626,0
10.1.1.7,2.045718,0.105914,0.05721201207205817,0.04830287499999997,10.0,1658.0,165.8,0.9532259999999999,1,5,1,1.295461844238322,1.295461844238322,0
10.1.1.15,2.047002,0.11829071428571426,0.09111665670010098,0.12358833333333319,8.0,2376.0,297.0,0.8280349999999999,0,3,0,0.954434002924965,0.954434002924965,0
10.1.1.24,2.109018,0.044963000000000086,0.026837,0.053674,3.0,372.0,124.0,0.08992600000000017,1,1,1,0.9182958340544894,0.9182958340544894,0
